Anno,Temp Media (oC)_mean,Temp Media (oC)_var,Temp Max (oC)_mean,Temp Max (oC)_var,Temp Minima (oC)_mean,Temp Minima (oC)_var,Humedad Media (%)_mean,Humedad Media (%)_var,Humedad Max (%)_mean,Humedad Max (%)_var,Humedad Min (%)_mean,Humedad Min (%)_var,Velviento (m/s)_mean,Velviento (m/s)_var,DirViento (o)_mean,DirViento (o)_var,VelVientoMax (m/s)_mean,VelVientoMax (m/s)_var,Precipitacion (mm)_mean,Precipitacion (mm)_var,Temp Media (oC)_mean_Semana_Pasada,Temp Media (oC)_var_Semana_Pasada,Temp Max (oC)_mean_Semana_Pasada,Temp Max (oC)_var_Semana_Pasada,Temp Minima (oC)_mean_Semana_Pasada,Temp Minima (oC)_var_Semana_Pasada,Humedad Media (%)_mean_Semana_Pasada,Humedad Media (%)_var_Semana_Pasada,Humedad Max (%)_mean_Semana_Pasada,Humedad Max (%)_var_Semana_Pasada,Humedad Min (%)_mean_Semana_Pasada,Humedad Min (%)_var_Semana_Pasada,Velviento (m/s)_mean_Semana_Pasada,Velviento (m/s)_var_Semana_Pasada,DirViento (o)_mean_Semana_Pasada,DirViento (o)_var_Semana_Pasada,VelVientoMax (m/s)_mean_Semana_Pasada,VelVientoMax (m/s)_var_Semana_Pasada,Precipitacion (mm)_mean_Semana_Pasada,Precipitacion (mm)_var_Semana_Pasada,superficie,numero_incendios,Sin_Semana,Cos_Semana,superficie_anterior,numero_anterior
2009,18.2957,1.8417,28.4943,11.484,8.8229,10.0174,67.4257,10.6186,94.3714,22.309,33.8343,104.9402,0.6929,0.0285,239.0186,13184.4674,3.9329,0.634,0.0,0.0,19.51,3.2507,31.2529,8.4476,9.94,5.3537,65.9414,42.3702,96.1,6.7833,25.5386,68.0896,0.62,0.0021,239.0214,18025.877,3.6143,0.1181,0.0,0.0,103.4,25.0,-0.8854560256532096,-0.4647231720437691,236.55,17.0
2009,17.7928,7.414,27.5702,22.4696,8.8044,9.3119,66.0782,36.4924,96.375,4.3569,30.3614,127.7759,0.7271,0.028,248.3082,9114.3729,4.0102,0.4438,0.3206,0.7195,18.2957,1.8417,28.4943,11.484,8.8229,10.0174,67.4257,10.6186,94.3714,22.309,33.8343,104.9402,0.6929,0.0285,239.0186,13184.4674,3.9329,0.634,0.0,0.0,271.19,24.0,-0.9350162426854147,-0.3546048870425359,103.4,25.0
2009,20.6343,1.3549,32.8129,6.9061,11.9314,5.5265,69.0786,30.7732,97.3857,1.8314,25.1143,71.0272,0.6,0.006,201.91,24653.5452,4.2714,0.2896,0.0,0.0,17.7928,7.414,27.5702,22.4696,8.8044,9.3119,66.0782,36.4924,96.375,4.3569,30.3614,127.7759,0.7271,0.028,248.3082,9114.3729,4.0102,0.4438,0.3206,0.7195,298.82,49.0,-0.970941817426052,-0.23931566428755774,271.19,24.0
2009,14.3857,3.6782,21.8357,3.1784,8.4029,9.1287,76.6729,61.3905,95.7429,15.5529,47.4129,85.2633,0.8114,0.1283,175.8971,15943.343,4.9014,6.1055,0.5143,0.5581,20.6343,1.3549,32.8129,6.9061,11.9314,5.5265,69.0786,30.7732,97.3857,1.8314,25.1143,71.0272,0.6,0.006,201.91,24653.5452,4.2714,0.2896,0.0,0.0,72.29,23.0,-0.992708874098054,-0.12053668025532357,298.82,49.0
2009,17.6286,2.0739,28.62,4.2199,9.8129,2.8514,72.9614,13.8477,97.9571,0.2929,29.5686,17.9108,0.5629,0.0068,83.3071,14854.8951,3.7543,0.4276,0.0571,0.0095,14.3857,3.6782,21.8357,3.1784,8.4029,9.1287,76.6729,61.3905,95.7429,15.5529,47.4129,85.2633,0.8114,0.1283,175.8971,15943.343,4.9014,6.1055,0.5143,0.5581,290.2,37.0,-1.0,-1.8369701987210297e-16,72.29,23.0
2009,17.1214,0.7712,26.5757,4.3988,10.3371,7.7468,77.2243,46.7041,97.3286,7.7357,40.9071,232.2923,0.47,0.0065,212.9371,12473.659,3.2571,0.53,0.1714,0.059,17.6286,2.0739,28.62,4.2199,9.8129,2.8514,72.9614,13.8477,97.9571,0.2929,29.5686,17.9108,0.5629,0.0068,83.3071,14854.8951,3.7543,0.4276,0.0571,0.0095,872.27,31.0,-0.992708874098054,0.1205366802553232,290.2,37.0
2009,17.6457,1.7114,24.1171,2.2279,13.4486,2.6936,83.1286,24.3724,97.7714,0.609,54.6843,27.3392,0.7914,0.2872,162.5971,6743.5767,4.6771,4.3735,0.2,0.0133,17.1214,0.7712,26.5757,4.3988,10.3371,7.7468,77.2243,46.7041,97.3286,7.7357,40.9071,232.2923,0.47,0.0065,212.9371,12473.659,3.2571,0.53,0.1714,0.059,0.0,0.0,-0.9709418174260521,0.23931566428755738,872.27,31.0
2009,11.9171,11.5729,24.3529,4.9852,4.0843,19.1925,78.0857,14.1248,99.2857,0.2514,31.2486,137.7584,0.4343,0.0078,155.8571,9854.1452,2.7686,0.3557,0.0857,0.0114,17.6457,1.7114,24.1171,2.2279,13.4486,2.6936,83.1286,24.3724,97.7714,0.609,54.6843,27.3392,0.7914,0.2872,162.5971,6743.5767,4.6771,4.3735,0.2,0.0133,74.0,12.0,-0.9350162426854148,0.35460488704253557,0.0,0.0
2009,13.0314,10.2289,18.3114,9.6186,8.0057,25.6276,87.8714,32.469,98.8143,0.3314,64.68,154.021,0.6414,0.0519,240.9571,2844.6995,3.9729,2.5419,0.0857,0.0114,11.9171,11.5729,24.3529,4.9852,4.0843,19.1925,78.0857,14.1248,99.2857,0.2514,31.2486,137.7584,0.4343,0.0078,155.8571,9854.1452,2.7686,0.3557,0.0857,0.0114,33.6,12.0,-0.8854560256532101,0.464723172043768,74.0,12.0
2009,15.56,1.0501,23.84,2.7913,9.9357,4.8838,87.9714,16.5924,99.0143,0.1214,57.8857,115.5108,0.4357,0.0146,236.3714,1453.559,2.69,1.5848,0.0286,0.0057,13.0314,10.2289,18.3114,9.6186,8.0057,25.6276,87.8714,32.469,98.8143,0.3314,64.68,154.021,0.6414,0.0519,240.9571,2844.6995,3.9729,2.5419,0.0857,0.0114,6.5,1.0,-0.822983865893657,0.5680647467311548,33.6,12.0
2009,10.9443,2.0134,14.5271,3.9962,8.1886,0.6752,85.7429,28.0195,97.3143,5.0748,67.6286,138.3095,0.7829,0.0593,261.0429,653.6762,3.77,1.2386,0.0286,0.0057,15.56,1.0501,23.84,2.7913,9.9357,4.8838,87.9714,16.5924,99.0143,0.1214,57.8857,115.5108,0.4357,0.0146,236.3714,1453.559,2.69,1.5848,0.0286,0.0057,0.0,0.0,-0.7485107481711011,0.6631226582407952,6.5,1.0
2009,13.3157,4.0911,16.9014,3.9894,9.9914,2.2228,82.7414,86.947,97.6857,2.6514,65.7714,81.607,1.27,0.9326,217.8857,749.9948,6.2757,8.8426,0.0286,0.0057,10.9443,2.0134,14.5271,3.9962,8.1886,0.6752,85.7429,28.0195,97.3143,5.0748,67.6286,138.3095,0.7829,0.0593,261.0429,653.6762,3.77,1.2386,0.0286,0.0057,0.0,0.0,-0.6631226582407955,0.7485107481711007,0.0,0.0
2009,10.6829,9.3295,14.5743,9.1221,6.9271,8.9484,83.4714,152.758,95.7429,52.9029,65.8414,252.381,1.1929,0.6321,198.9571,590.4029,5.6871,8.9255,1.4857,7.1314,13.3157,4.0911,16.9014,3.9894,9.9914,2.2228,82.7414,86.947,97.6857,2.6514,65.7714,81.607,1.27,0.9326,217.8857,749.9948,6.2757,8.8426,0.0286,0.0057,0.0,0.0,-0.5680647467311559,0.8229838658936564,0.0,0.0
2009,8.4957,2.6865,12.81,2.9148,4.8471,3.1402,87.8571,10.7162,98.6571,0.8095,66.7029,24.1692,0.92,0.282,211.5714,423.6257,5.1029,2.7228,6.4,54.0533,10.6829,9.3295,14.5743,9.1221,6.9271,8.9484,83.4714,152.758,95.7429,52.9029,65.8414,252.381,1.1929,0.6321,198.9571,590.4029,5.6871,8.9255,1.4857,7.1314,0.0,0.0,-0.4647231720437684,0.88545602565321,0.0,0.0
